stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\projects\MathWay\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.11317] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11326] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11334] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11343] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.11354] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.11458] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.11470] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.17508] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.20402] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.20422] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.20446] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.20466] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.20493] Returning d3d_display: 0000021CB85DAA60
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.20518] al_display=0000021CB85DAA60
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.20537] al_display->vt=0000021CB8555BF0
system   D            wsystem.c:834  maybe_parent_dir                 [   0.20771] Also searching C:\projects\MathWay\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.20801] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.20813] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.21544] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.21562] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.21586] added dtor for bitmap 0000021CBEDCB650, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.21663] added dtor for bitmap 0000021CBEDCB080, func 00007FFC8DEE118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22039] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22137] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22185] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22195] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22208] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22269] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22283] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22308] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.22318] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.22327] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.22340] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.22396] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.22413] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.22465] added dtor for bitmap 0000021CBEDCACA0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22562] added dtor for sub_bitmap 0000021CBEDCC1F0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22601] added dtor for sub_bitmap 0000021CBEDCAAB0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22638] added dtor for sub_bitmap 0000021CBEDCAE90, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22677] added dtor for sub_bitmap 0000021CBEDCB270, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22695] added dtor for sub_bitmap 0000021CBEDCA4E0, func 00007FFC8DEE118B
